session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
60917320ef7c124e93c3fa1d,606c398518a783c34791b01f,RETURNED,15:28.3,,4376152.175,36,90,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091734094a05a906b4ba44e,5b2a3a4915cbf50001874792,RETURNED,19:40.3,,4375900.165,,687,8,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917344b1bfe98e1d84f001,55bcb211fdf99b1068d97558,RETURNED,16:07.2,,4376113.307,36,1197,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091735fc89c253336f8fe54,5dcdb60be64aaa07c14065cc,RETURNED,16:37.0,,4376083.538,34,1044,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091736397f9cf9e8f1d1ac1,5e9ffbdcaf81220009abc94f,RETURNED,16:35.4,,4376085.091,30,289,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091739aaa971b0169c2ccb9,6065d269c508e599b1aef661,RETURNED,17:32.9,17:56.4,23.433,31,44,5,92,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609173a46519eaefd24c8b92,5ec875255c6a2700081554ac,RETURNED,17:40.5,51:04.4,2003.941,19,395,7,98,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609173e42868269fca70cc97,5cf398a1e55efc000127adae,RETURNED,19:01.2,,4375939.365,27,567,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609173fca2a2464c7e1eae6d,5efa33c4e9f4160ffd817db9,RETURNED,19:17.9,,4375922.658,39,399,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917409bff562a5dae33335,596dfaa96685b30001afc6d5,RETURNED,19:21.3,,4375919.328,37,217,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091741dcf484922b1e62a4d,5ff5a8e4c4d15f034f60ce96,RETURNED,20:18.9,,4375861.695,21,161,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917420d2f88ad742f2b239,5dd405ab80123f3eaae9af80,RETURNED,19:44.9,,4375895.727,61,1184,5,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091743ea54369a1edce87f7,5d46c556fb0ce0001a04fd01,RETURNED,20:33.0,,4375847.696,39,846,6,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917456cc37e823d1568b6d,5f8461c7c4a37809c686303d,RETURNED,25:45.9,27:12.6,86.782,24,757,10,98,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
