id,user_id,riddle_1,riddle_2,riddle_3,riddle_4,riddle_5,riddle_6,riddle_7,time
212,363,0.875,30,-1,-1,-1,99,-1,2021-01-02 16:31:32
213,364,0.875,30,-1,-1,-1,50,-1,2021-01-03 21:09:41
214,365,0.875,30,-1,-1,-1,50,-1,2021-01-03 21:24:25
215,366,0.125,30,-1,-1,-1,98.99,-1,2021-01-04 11:23:40
216,367,0.125,30,-1,-1,-1,98.99,-1,2021-01-04 11:38:24
220,371,0.875,28,-1,-1,-1,50,-1,2021-01-05 12:47:24
221,372,0.875,28,-1,-1,-1,98.9898,-1,2021-01-05 14:56:40
222,373,0.875,28,-1,-1,-1,98.989,-1,2021-01-05 14:56:42
223,374,0.875,28,-1,-1,-1,98.989,-1,2021-01-05 15:02:40
224,375,0.875,28,-1,-1,-1,98.9898,-1,2021-01-05 15:03:02
225,376,0.875,27,-1,-1,-1,50,-1,2021-01-05 18:34:38
226,377,0.875,30,-1,-1,-1,99,-1,2021-01-05 18:38:36
227,377,0.875,30,-1,-1,-1,99,-1,2021-01-05 18:38:36
228,378,0.875,30,-1,-1,-1,99,-1,2021-01-05 18:43:11
229,381,0.875,27,-1,-1,-1,50,-1,2021-01-05 18:48:58
230,380,0.875,31,-1,-1,-1,98,-1,2021-01-05 18:48:59
231,379,0.833333,28,-1,-1,-1,49,-1,2021-01-05 18:50:04
232,383,0.875,28,-1,-1,-1,100,-1,2021-01-05 19:32:05
233,382,0.875,28,-1,-1,-1,50,-1,2021-01-05 19:33:59
234,384,0.875,28,-1,-1,-1,50,-1,2021-01-05 19:55:13
235,385,0.875,28,-1,-1,-1,50,-1,2021-01-05 20:16:34
237,387,0.875,27,-1,-1,-1,50,-1,2021-01-05 21:12:55
238,388,0.875,27,-1,-1,-1,50,-1,2021-01-05 21:15:54
239,389,0.125,30,-1,-1,-1,99,-1,2021-01-06 12:25:48
240,390,0.125,30,-1,-1,-1,99,-1,2021-01-06 12:29:58
241,391,0.125,30,-1,-1,-1,98,-1,2021-01-06 12:34:27
242,392,0.875,28,-1,-1,-1,99,-1,2021-01-06 13:04:46
243,393,0.875,27,-1,-1,-1,99,-1,2021-01-06 14:52:53
244,394,0.875,28,-1,-1,-1,50,-1,2021-01-06 17:07:08
245,395,0.962963,28,-1,-1,-1,50,-1,2021-01-06 17:12:27
247,397,0.875,30,-1,-1,-1,98,-1,2021-01-07 09:07:58
248,398,0.875,28,-1,-1,-1,50,-1,2021-01-07 11:00:20
249,399,0.875,28,-1,-1,-1,50,-1,2021-01-07 11:00:20
250,400,0.875,28,-1,-1,-1,98,-1,2021-01-07 14:47:34
251,401,0.875,27,-1,-1,-1,2,-1,2021-01-07 18:24:46
252,402,0.875,28,-1,-1,-1,50,-1,2021-01-07 19:57:44
253,403,0.875,28,-1,-1,-1,50,-1,2021-01-07 20:03:38
254,404,0.875,28,-1,-1,-1,50,-1,2021-01-07 20:12:27
255,405,0.875,30,-1,-1,-1,99,-1,2021-01-08 00:02:52
256,406,0.875,30,-1,-1,-1,99,-1,2021-01-08 00:06:58
257,407,0.875,30,-1,-1,-1,99,-1,2021-01-08 00:26:39
258,408,0.875,27,-1,-1,-1,50,-1,2021-01-08 00:43:35
259,409,0.875,27,-1,-1,-1,50,-1,2021-01-08 00:48:59
260,410,0.875,28,-1,-1,-1,50,-1,2021-01-08 10:42:09
261,411,0.375,28,-1,-1,-1,99,-1,2021-01-08 15:10:53
262,412,0.984375,28,-1,-1,-1,50,-1,2021-01-08 17:12:59
263,413,0.984375,28,-1,-1,-1,50,-1,2021-01-08 17:20:48
264,414,0.875,28,-1,-1,-1,99,-1,2021-01-08 18:23:54
265,415,0.875,28,-1,-1,-1,50,-1,2021-01-09 18:10:17
266,416,0.875,28,-1,-1,-1,50,-1,2021-01-09 18:10:20
267,417,0.875,28,-1,-1,-1,50,-1,2021-01-09 18:14:38
268,418,0.875,28,-1,-1,-1,50,-1,2021-01-09 18:29:01
269,419,0.875,28,-1,-1,-1,99,-1,2021-01-09 21:19:42
270,420,0.875,26,-1,-1,-1,99,-1,2021-01-09 21:25:07
271,421,0.875,26,-1,-1,-1,99,-1,2021-01-09 21:35:30
272,423,0.481481,29,-1,-1,-1,97.02,-1,2021-01-09 22:38:50
273,424,0.875,28,-1,-1,-1,50,-1,2021-01-10 08:39:19
274,425,0.875,30,-1,-1,-1,98,-1,2021-01-10 10:15:00
275,426,0.875,30,-1,-1,-1,50,-1,2021-01-10 16:18:41
276,427,0.875,30,-1,-1,-1,50,-1,2021-01-10 16:26:19
277,428,0.875,30,-1,-1,-1,50,-1,2021-01-10 16:29:11
278,430,0.875,27,-1,-1,-1,50,-1,2021-01-10 17:06:37
279,431,0.125,28,-1,-1,-1,90,-1,2021-01-10 19:19:33
280,432,0.5,28,-1,-1,-1,90,-1,2021-01-10 19:25:21
281,433,0.5,28,-1,-1,-1,90,-1,2021-01-10 19:37:01
282,435,0.875,28,-1,-1,-1,50,-1,2021-01-10 21:21:52
283,434,0.875,28,-1,-1,-1,50,-1,2021-01-10 21:21:59
284,437,1,27,-1,-1,-1,0.999899,-1,2021-01-10 23:05:29
285,438,0.875,28,-1,-1,-1,50,-1,2021-01-11 08:39:09
286,439,0.875,28,-1,-1,-1,99,-1,2021-01-11 10:23:44
287,454,0.875,30,-1,-1,-1,98.9899,-1,2021-01-11 11:38:21
288,455,0.875,27,-1,-1,-1,50,-1,2021-01-11 11:44:13
289,456,0.125,29,-1,-1,-1,99,-1,2021-01-11 13:07:03
290,457,0.875,30,-1,-1,-1,50,-1,2021-01-11 13:50:50
291,458,0.875,30,-1,-1,-1,50,-1,2021-01-11 15:43:21
292,459,0.875,28,-1,-1,-1,50,-1,2021-01-11 17:39:39
293,462,0.875,30,-1,-1,-1,99,-1,2021-01-11 18:29:36
294,463,0.875,28,-1,-1,-1,50,-1,2021-01-11 19:40:09
295,464,0.875,29,-1,-1,-1,98.02,-1,2021-01-12 11:15:15
296,465,0.875,30,-1,-1,-1,50,-1,2021-01-12 11:41:59
297,466,0.125,27,-1,-1,-1,99,-1,2021-01-12 12:18:02
299,469,0.875,27,-1,-1,-1,50,-1,2021-01-14 10:31:00
300,470,0.875,27,-1,-1,-1,50,-1,2021-01-14 10:36:37
301,471,0.875,27,-1,-1,-1,50,-1,2021-01-14 10:48:20
